スイーパー	sweeper
テニスエルボー	tennis elbow
テンダロイン	tenderloin
ツリードクター	tree doctor
マリアージュ	marriage
インシネレタ	incinerator
バスケットボールチーム	basketball team
ディップス	dips
ブルーエンゼル	blue angel
オフオフブロードウェー	off off broadway
コンテンツモデレーター	contents moderator
バージョンアップ	version up
キャンパスライフ	campus life
トランザクション	transaction
ウィスカー	whisker
トップスター	top star
リフォーミング	reforming
キャンバス	canvas
サミング	thumbing
カスケット	casket
トポロジ	topology
タリバン	taliban
メインキー	main key
ハードドリンク	hard drink
ボタニカルアート	botanical art
コロネード	colonnade
フォグ	fog
ブルーセックス	blue sex
アリストクラシー	aristocracy
エスニックグループ	ethnic group
ハイエナ	hyena
タイタック	tie tack
カメラリハーサル	camera rehearsal
ロトンダ	rotunda
ディスプレイコントローラ	display controller
ハーフワード	half word
オープンプラットフォーム	open platform
アドレス	address
フェラチオ	fellatio
キャンサー	cancer
ガット	gut
ハーモニクス	harmonics
インプレメント	implement
エバキュエーション	evacuation
ウインドフォール	windfall
ディーラ	dealer
デイジーチェーン	daisy chain
モダンバレエ	modern ballet
カストル	castor
デーリーエキスプレス	daily express
ラインモード	line mode
アコード	accord
メーク	make
ブルーミング	blooming
アドプトプログラム	adopt program
アーチチョーク	artichoke
ホームランダービー	home run derby
ダイポル	dipole
フラットパネルディスプレイ	flat panel display
タイニー	tiny
レヴュー	review
メニューボード	menu board
ゲゼルシャフト	gesellschaft
プライムミニスター	prime minister
インターネットスラング	internet slang
レベルダウン	level dawn
バストパッド	bust pad
サウンドビジネス	sound business
バーゲン	bargain
ウエルカムドリンク	welcome drink
シャンパンタワー	champagne tower
スポンジ	sponge
エグゼンプション	exemption
ワーキングランチ	working lunch
ワイルドウオーター	wild water
ウェブストア	web store
ボンレスハム	boneless ham
テイク	take
ハンディクラフト	handicraft
ニュースタイル	new style
スタントカー	stunt car
イエローカード	yellow card
クリエイション	creation
ウィジェット	widget
フラッシュガン	flashgun
ポリシング	policing
ラビ	rabbi
ホームチーム	home team
ボートハウス	boathouse
ケイン	cane
サービスタイプ	service type
バイアル	vial
シックネスバッグ	sickness bag
ブレーンストーム	brainstorm
ナイスボディー	nice body
ドメイン	domain
レンジファインダー	range finder
ベビーフード	baby food
コンセショナリー	concessionary
クリスマスカロル	christmas carol
クレンジングローション	cleansing lotion
アイデアライズ	idealize
ディスカバリー	discovery
ワンパス	one pass
ホップ	hop
アウトオブプレー	out of play
ホースパワー	horsepower
サーマルリレー	thermal relay
